Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-02-21,9:00 PM,10:00 PM,Winnipeg Jets,4,Vancouver Canucks,3,OT
2021-02-22,6:00 PM,7:00 PM,Dallas Stars,1,Florida Panthers,3,Regulation
2021-02-22,6:00 PM,7:00 PM,Tampa Bay Lightning,4,Carolina Hurricanes,2,Regulation
2021-02-22,6:00 PM,7:00 PM,Buffalo Sabres,2,New York Islanders,3,Regulation
2021-02-22,6:00 PM,7:00 PM,Calgary Flames,3,Toronto Maple Leafs,0,Regulation
2021-02-22,7:00 PM,8:00 PM,Los Angeles Kings,3,St. Louis Blues,0,Regulation
2021-02-22,8:00 PM,9:00 PM,Vegas Golden Knights,3,Colorado Avalanche,0,Regulation
2021-02-22,8:00 PM,9:00 PM,Anaheim Ducks,3,Arizona Coyotes,4,Regulation
2021-02-22,9:30 PM,10:30 PM,Minnesota Wild,6,San Jose Sharks,2,Regulation
2021-02-23,6:00 PM,7:00 PM,Buffalo Sabres,4,New Jersey Devils,1,Regulation
2021-02-23,6:00 PM,7:00 PM,Pittsburgh Penguins,3,Washington Capitals,2,OT
2021-02-23,6:00 PM,7:00 PM,Chicago Blackhawks,6,Columbus Blue Jackets,5,SO
2021-02-23,6:00 PM,7:00 PM,Montreal Canadiens,4,Ottawa Senators,5,SO
2021-02-23,6:30 PM,7:30 PM,Nashville Predators,2,Detroit Red Wings,0,Regulation
2021-02-23,9:00 PM,10:00 PM,Edmonton Oilers,4,Vancouver Canucks,3,Regulation
2021-02-24,4:00 PM,5:00 PM,Carolina Hurricanes,0,Tampa Bay Lightning,3,Regulation
2021-02-24,4:00 PM,5:00 PM,Dallas Stars,3,Florida Panthers,0,Regulation
2021-02-24,6:00 PM,7:00 PM,New York Rangers,3,Philadelphia Flyers,4,Regulation
2021-02-24,6:00 PM,7:00 PM,Calgary Flames,1,Toronto Maple Leafs,2,OT
2021-02-24,8:00 PM,9:00 PM,Minnesota Wild,6,Colorado Avalanche,2,Regulation
2021-02-24,8:00 PM,9:00 PM,Anaheim Ducks,3,Arizona Coyotes,4,SO
